Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-12-23,2015,12,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,51,2015-51,37.39,37.46,36.96,37.33,616900.0,35.97,-0.002938176680806759,36.58785714285714,34.59840000000001
2015-12-24,2015,12,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,51,2015-51,37.09,37.75,37.0,37.15,435700.0,35.79,-0.00482173689859533,36.49571428571428,34.77820000000001
2015-12-28,2015,12,28,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,52,2015-52,37.45,37.69,36.33,37.09,743700.0,35.74,-0.0016152105171561848,36.336428571428556,34.929400000000015
2015-12-29,2015,12,29,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,52,2015-52,37.09,37.72,37.02,37.4,634700.0,36.04,0.008358115019831525,36.2442857142857,35.07960000000001
2015-12-30,2015,12,30,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,52,2015-52,37.5,37.5,36.3,36.48,782000.0,35.15,-0.024598999771448304,36.163571428571416,35.185200000000016
2015-12-31,2015,12,31,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,52,2015-52,36.28,36.43,35.2,35.33,923000.0,34.04,-0.031523861121927954,35.95999999999999,35.261400000000016
2016-01-04,2016,1,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2016-01,34.43,34.45,32.52,32.81,2235000.0,31.61,-0.07132756324377876,35.62785714285713,35.26020000000001
2016-01-05,2016,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2016-01,32.5,32.76,31.32,32.03,2275300.0,30.86,-0.023773317247299586,35.21642857142856,35.23380000000001
2016-01-06,2016,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2016-01,31.32,33.44,31.2,32.53,1398300.0,31.34,0.015610325417726889,34.855,35.18920000000001
2016-01-07,2016,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2016-01,31.76,32.98,31.56,32.28,1634900.0,31.1,-0.007685255178586536,34.42285714285714,35.125400000000006
